"question","answer","generative_model","embedding_model","elapsed_time","similarity","user_rating","notes"
"What are all the steps required to deploy new software, including approvals and notifications?","To deploy new software, the following steps must be taken:

1. Merge code to main branch.
2. Run CI/CD pipeline.
3. Notify QA for validation.
4. Deploy to production after approval.","Ollama (llama2:7b-chat)","all-MiniLM-L6-v2","9.45","0.773","neutral",""
"How do I deploy code?","To deploy code, follow these steps:

1. Merge the code to the main branch.
2. Run the CI/CD pipeline.
3. Notify QA for validation.
4. Deploy the code to production after obtaining approval.","Ollama (llama2:7b-chat)","all-MiniLM-L6-v2","50.92","0.754","neutral",""
"how much pto do I have","You have 2 weeks of paid time off (PTO) per year.","Ollama (llama2:7b-chat)","all-MiniLM-L6-v2","34.21","0.477","neutral",""
"how much pto do I have","You have 15 days of paid vacation per year.","Ollama (llama2:7b-chat)","all-MiniLM-L6-v2","38.92","0.667","neutral",""
"how much pto do I have","You have 15 days of paid time off (PTO) per year.","Ollama (mistral)","all-MiniLM-L6-v2","39.64","0.532","neutral",""
"how much pto do I have","You have 15 days of paid vacation per year.","Ollama (llama2:7b-chat)","all-MiniLM-L6-v2","48.19","0.667","neutral",""
"how much pto do I have","15 days of paid vacation per year.","Ollama (mistral)","all-MiniLM-L6-v2","39.94","0.655","neutral",""
"how much pto do I have","You have 15 days of paid vacation per year.","Ollama (llama2:7b-chat)","all-MiniLM-L6-v2","39.22","0.667","neutral",""
"how much pto do I have","You have 15 days of paid vacation per year.","Ollama (llama2:7b-chat)","all-MiniLM-L6-v2","3.60","0.667","neutral",""
"how much pto do I have","You are entitled to 15 days of paid vacation per year.","Ollama (mistral)","all-MiniLM-L6-v2","38.34","0.717","neutral",""
